Id,CodigoMunicipio,Ano,Mes,Periodo,DataCredito,ICMS,FundExp,Comp,IPVA,Total
125,1508,2022,Maio,02/05/2022 a 06/05/2022,10/05/2022,418193.32,0.00,0.00,0.00,418193.32
126,1508,2022,Maio,09/05/2022 a 13/05/2022,17/05/2022,266752.55,4893.64,0.00,0.00,271646.19
127,1508,2022,Maio,16/05/2022 a 20/05/2022,24/05/2022,293007.04,1765.99,10501.71,0.00,305274.74
128,1508,2022,Maio,23/05/2022 a 27/05/2022,31/05/2022,917261.30,0.00,297.61,0.00,917558.91
129,1508,2022,Junho,30/05/2022 a 03/06/2022,07/06/2022,179201.15,1019.45,0.00,0.00,180220.60
130,1508,2022,Junho,06/06/2022 a 10/06/2022,14/06/2022,393609.22,6259.77,0.00,0.00,399868.99
131,1508,2022,Junho,13/06/2022 a 17/06/2022,21/06/2022,305406.77,0.00,8772.02,0.00,314178.79
132,1508,2022,Junho,20/06/2022 a 24/06/2022,28/06/2022,810401.47,3031.33,0.00,0.00,813432.81
133,1508,2022,Julho,27/06/2022 a 01/07/2022,05/07/2022,402205.32,1543.22,241.67,0.00,403990.21
134,1508,2022,Julho,04/07/2022 a 08/07/2022,12/07/2022,364013.65,7120.51,0.00,0.00,371134.16
135,1508,2022,Julho,11/07/2022 a 15/07/2022,19/07/2022,275530.72,0.00,0.00,0.00,275530.72
136,1508,2022,Julho,18/07/2022 a 22/07/2022,26/07/2022,913538.31,2627.44,9737.12,0.00,925902.87
137,1508,2022,Agosto,25/07/2022 a 29/07/2022,02/08/2022,381967.18,1419.59,264.89,0.00,383651.66
138,1508,2022,Agosto,01/08/2022 a 05/08/2022,09/08/2022,394103.31,0.00,0.00,0.00,394103.31
139,1508,2022,Agosto,08/08/2022 a 12/08/2022,16/08/2022,247041.14,5925.98,0.00,0.00,252967.12
140,1508,2022,Agosto,15/08/2022 a 19/08/2022,23/08/2022,301653.08,525.68,0.00,0.00,302178.76
141,1508,2022,Agosto,22/08/2022 a 26/08/2022,30/08/2022,990029.39,0.00,9934.15,0.00,999963.54
142,1508,2022,Setembro,26/08/2022 a 26/08/2022,06/09/2022,185808.48,2443.64,275.84,0.00,188527.96
143,1508,2022,Setembro,05/09/2022 a 09/09/2022,13/09/2022,327922.61,6986.72,0.00,0.00,334909.32
144,1508,2022,Setembro,12/09/2022 a 16/09/2022,20/09/2022,333077.38,0.00,0.00,0.00,333077.38
145,1508,2022,Setembro,19/09/2022 a 23/09/2022,27/09/2022,881081.04,2474.84,9859.66,0.00,893415.54
146,1508,2022,Outubro,26/09/2022 a 30/09/2022,04/10/2022,355328.07,2273.27,265.94,0.00,357867.28
147,1508,2022,Outubro,03/10/2022 a 07/10/2022,11/10/2022,381180.89,0.00,0.00,0.00,381180.89
148,1508,2022,Outubro,10/10/2022 a 14/10/2022,18/10/2022,231953.30,7510.51,0.00,0.00,239463.81
149,1508,2022,Outubro,17/10/2022 a 21/10/2022,25/10/2022,873844.70,2989.72,8995.78,0.00,885830.21
150,1508,2022,Novembro,24/10/2022 a 28/10/2022,01/11/2022,302723.49,1476.16,809.49,0.00,305009.14
151,1508,2022,Novembro,31/10/2022 a 04/11/2022,08/11/2022,169278.23,0.00,0.00,0.00,169278.23
152,1508,2022,Novembro,07/11/2022 a 11/11/2022,16/11/2022,391815.91,6850.71,0.00,0.00,398666.62
153,1508,2022,Novembro,14/11/2022 a 18/11/2022,22/11/2022,244482.90,556.51,7772.84,0.00,252812.25
154,1508,2022,Novembro,21/11/2022 a 25/11/2022,29/11/2022,838158.17,0.00,0.00,0.00,838158.17
155,1508,2022,Dezembro,28/11/2022 a 02/12/2022,06/12/2022,359717.65,1301.44,209.11,0.00,361228.20
156,1508,2022,Dezembro,05/12/2022 a 09/12/2022,13/12/2022,260581.52,7825.62,0.00,0.00,268407.14
157,1508,2022,Dezembro,12/12/2022 a 16/12/2022,20/12/2022,396761.35,0.00,7775.05,0.00,404536.39
158,1508,2022,Dezembro,19/12/2022 a 23/12/2022,27/12/2022,902259.52,2348.35,202.44,0.00,904810.30
159,1508,2023,Janeiro,Resíduo do Ano Anterior,03/01/2023,348495.95,2199.23,0.00,0.00,350695.18
160,1508,2023,Janeiro,02/01/2023 a 06/01/2023,10/01/2023,233474.76,0.00,0.00,0.00,233474.76
161,1508,2023,Janeiro,09/01/2023 a 13/01/2023,17/01/2023,299758.27,6763.48,0.00,0.00,306521.74
162,1508,2023,Janeiro,16/01/2023 a 20/01/2023,24/01/2023,355176.49,3361.50,5622.58,0.00,364160.58
163,1508,2023,Janeiro,23/01/2023 a 27/01/2023,31/01/2023,930434.56,0.00,145.05,0.00,930579.61
164,1508,2023,Fevereiro,30/01/2023 a 03/02/2023,07/02/2023,209994.70,1833.56,0.00,0.00,211828.25
165,1508,2023,Fevereiro,06/02/2023 a 10/02/2023,14/02/2023,309230.79,6483.68,0.00,0.00,315714.47
166,1508,2023,Fevereiro,13/02/2023 a 17/02/2023,22/02/2023,361162.54,1178.31,0.00,0.00,362340.85
167,1508,2023,Fevereiro,22/02/2023 a 24/02/2023,28/02/2023,738699.93,0.00,6535.71,0.00,745235.63
168,1508,2023,Março,27/02/2023 a 03/03/2023,07/03/2023,363603.44,865.89,191.97,0.00,364661.30
169,1508,2023,Março,06/03/2023 a 10/03/2023,14/03/2023,340316.37,7313.06,0.00,0.00,347629.43
170,1508,2023,Março,13/03/2023 a 17/03/2023,21/03/2023,301597.68,0.00,6256.22,0.00,307853.90
171,1508,2023,Março,20/03/2023 a 24/03/2023,28/03/2023,760269.45,1469.98,0.00,0.00,761739.43
172,1508,2023,Abril,27/03/2023 a 31/03/2023,04/04/2023,300678.08,1785.67,176.74,0.00,302640.50
173,1508,2023,Abril,03/04/2023 a 07/04/2023,11/04/2023,357395.26,0.00,0.00,0.00,357395.26
174,1508,2023,Abril,10/04/2023 a 14/04/2023,18/04/2023,300646.11,8318.20,0.00,0.00,308964.32
175,1508,2023,Abril,17/04/2023 a 21/04/2023,25/04/2023,285281.71,1311.32,6024.98,0.00,292618.01
176,1508,2023,Maio,24/04/2023 a 28/04/2023,03/05/2023,982425.12,1637.48,168.91,0.00,984231.51
177,1508,2023,Maio,02/05/2023 a 05/05/2023,09/05/2023,338254.84,0.00,0.00,0.00,338254.84
178,1508,2023,Maio,08/05/2023 a 12/05/2023,16/05/2023,276726.07,6935.43,0.00,0.00,283661.49
179,1508,2023,Maio,15/05/2023 a 19/05/2023,23/05/2023,243912.96,1961.86,0.00,0.00,245874.82
180,1508,2023,Maio,22/05/2023 a 26/05/2023,30/05/2023,907901.58,0.00,6735.87,0.00,914637.45
181,1508,2023,Junho,29/05/2023 a 02/06/2023,06/06/2023,179199.64,1234.67,182.00,0.00,180616.31
182,1508,2023,Junho,05/06/2023 a 09/06/2023,13/06/2023,275202.07,8556.67,0.00,0.00,283758.74
183,1508,2023,Junho,12/06/2023 a 16/06/2023,20/06/2023,418660.38,0.00,0.00,0.00,418660.38
184,1508,2023,Junho,19/06/2023 a 23/06/2023,27/06/2023,839055.82,2149.00,6424.17,0.00,847628.99
185,1508,2023,Julho,26/06/2023 a 30/06/2023,04/07/2023,360864.42,1928.60,0.00,0.00,362793.02
186,1508,2023,Julho,03/07/2023 a 07/07/2023,11/07/2023,445857.15,0.00,0.00,0.00,445857.15
187,1508,2023,Julho,10/07/2023 a 14/07/2023,18/07/2023,226084.68,8206.92,0.00,0.00,234291.60
188,1508,2023,Julho,17/07/2023 a 21/07/2023,25/07/2023,884676.53,2180.50,6266.14,0.00,893123.17
189,1508,2023,Agosto,24/07/2023 a 28/07/2023,01/08/2023,342952.35,1091.23,0.00,0.00,344043.58
190,1508,2023,Agosto,31/07/2023 a 04/08/2023,08/08/2023,481131.52,0.00,170.64,0.00,481302.16
191,1508,2023,Agosto,07/08/2023 a 11/08/2023,15/08/2023,213036.23,7402.36,0.00,0.00,220438.59
192,1508,2023,Agosto,14/08/2023 a 18/08/2023,22/08/2023,247478.91,1780.39,0.00,0.00,249259.30
193,1508,2023,Agosto,21/08/2023 a 25/08/2023,29/08/2023,817099.67,0.00,6171.65,0.00,823271.31
194,1508,2023,Setembro,28/08/2023 a 01/09/2023,05/09/2023,360552.87,1034.39,0.00,0.00,361587.26
195,1508,2023,Setembro,04/09/2023 a 08/09/2023,12/09/2023,448448.48,8556.20,166.18,0.00,457170.86
196,1508,2023,Setembro,11/09/2023 a 15/09/2023,19/09/2023,183449.59,0.00,6758.24,0.00,190207.83
197,1508,2023,Setembro,18/09/2023 a 22/09/2023,26/09/2023,1053853.99,1346.32,0.00,0.00,1055200.30
198,1508,2023,Outubro,25/09/2023 a 29/09/2023,03/10/2023,324101.84,3338.91,175.85,0.00,327616.60
199,1508,2023,Outubro,02/10/2023 a 06/10/2023,10/10/2023,500919.18,0.00,0.00,0.00,500919.18
200,1508,2023,Outubro,09/10/2023 a 13/10/2023,17/10/2023,209461.93,8547.81,0.00,0.00,218009.74
201,1508,2023,Outubro,09/10/2023 a 13/10/2023,24/10/2023,325169.77,3903.05,7504.07,0.00,336576.89
202,1508,2023,Outubro,23/10/2023 a 27/10/2023,31/10/2023,997233.33,0.00,0.00,0.00,997233.33
203,1508,2023,Novembro,30/10/2023 a 03/11/2023,07/11/2023,185356.64,2341.57,197.58,0.00,187895.79
204,1508,2023,Novembro,06/11/2023 a 10/11/2023,14/11/2023,517366.12,7152.15,0.00,0.00,524518.27
205,1508,2023,Novembro,13/11/2023 a 17/11/2023,21/11/2023,243604.43,0.00,0.00,0.00,243604.43
206,1508,2023,Novembro,20/11/2023 a 24/11/2023,28/11/2023,889593.68,2524.23,7805.68,0.00,899923.59
207,1508,2023,Dezembro,27/11/2023 a 01/12/2023,05/12/2023,374810.27,2444.17,208.77,0.00,377463.21
208,1508,2023,Dezembro,04/12/2023 a 08/12/2023,12/12/2023,463349.76,6994.68,0.00,0.00,470344.44
209,1508,2023,Dezembro,11/12/2023 a 15/12/2023,19/12/2023,253870.80,0.00,7820.24,0.00,261691.04
210,1508,2023,Dezembro,18/12/2023 a 22/12/2023,27/12/2023,1071304.50,3310.93,202.35,0.00,1074817.78
211,1508,2024,Janeiro,Resíduo do Ano Anterior,03/01/2024,332588.92,2889.92,0.00,0.00,335478.84
212,1508,2024,Janeiro,02/01/2024 a 05/01/2024,09/01/2024,437471.11,0.00,0.00,0.00,437471.11
213,1508,2024,Janeiro,08/01/2024 a 12/01/2024,16/01/2024,239274.72,8446.55,0.00,0.00,247721.27
214,1508,2024,Janeiro,15/01/2024 a 19/01/2024,23/01/2024,275524.25,3601.39,5697.98,0.00,284823.63
215,1508,2024,Janeiro,22/01/2024 a 26/01/2024,30/01/2024,973724.57,0.00,139.65,0.00,973864.22
216,1508,2024,Fevereiro,29/01/2024 a 02/02/2024,06/02/2024,207177.69,469.99,0.00,0.00,207647.68
217,1508,2024,Fevereiro,05/02/2024 a 09/02/2024,14/02/2024,431119.84,7938.42,0.00,0.00,439058.26
218,1508,2024,Fevereiro,14/02/2024 a 16/02/2024,20/02/2024,239611.76,0.00,0.00,0.00,239611.76
219,1508,2024,Fevereiro,19/02/2024 a 23/02/2024,27/02/2024,850693.11,3190.47,5932.99,0.00,859816.57
220,1508,2024,Março,26/02/2024 a 01/03/2024,05/03/2024,384104.65,1890.45,153.70,0.00,386148.80
221,1508,2024,Março,04/03/2024 a 08/03/2024,12/03/2024,442615.81,7555.19,0.00,0.00,450171.01
222,1508,2024,Março,11/03/2024 a 15/03/2024,19/03/2024,220553.11,0.00,0.00,0.00,220553.11
223,1508,2024,Março,18/03/2024 a 22/03/2024,26/03/2024,889570.63,3025.19,5114.92,0.00,897710.74
224,1508,2024,Abril,25/03/2024 a 29/03/2024,02/04/2024,282323.50,4714.97,133.35,0.00,287171.81
225,1508,2024,Abril,01/04/2024 a 05/04/2024,09/04/2024,524704.06,0.00,0.00,0.00,524704.06
226,1508,2024,Abril,08/04/2024 a 12/04/2024,16/04/2024,247406.31,8417.53,0.00,0.00,255823.83
227,1508,2024,Abril,15/04/2024 a 19/04/2024,23/04/2024,293292.01,3928.19,4838.22,0.00,302058.42
228,1508,2024,Abril,22/04/2024 a 26/04/2024,30/04/2024,1004952.92,0.00,0.00,0.00,1004952.92
229,1508,2024,Maio,29/04/2024 a 03/05/2024,07/05/2024,191665.81,881.69,129.68,0.00,192677.17
230,1508,2024,Maio,06/05/2024 a 10/05/2024,14/05/2024,521839.24,9256.89,0.00,0.00,531096.12
231,1508,2024,Maio,13/05/2024 a 17/05/2024,21/05/2024,270533.56,0.00,0.00,0.00,270533.56
232,1508,2024,Maio,20/05/2024 a 24/05/2024,28/05/2024,866435.68,2582.31,5826.63,0.00,874844.61
233,1508,2024,Junho,27/05/2024 a 31/05/2024,04/06/2024,358955.32,2083.09,164.03,0.00,361202.45
234,1508,2024,Junho,03/06/2024 a 07/06/2024,11/06/2024,508118.42,0.00,0.00,0.00,508118.42
235,1508,2024,Junho,10/06/2024 a 14/06/2024,18/06/2024,268010.10,10695.90,0.00,0.00,278706.00
