Id,Codigo,Nome,UF
1249,5885,Rio das Pedras,SP
1250,5897,Rio Grande da Serra,SP
1251,5903,Riolândia,SP
1252,5836,Riversul,SP
1253,7304,Rosana,SP
1254,5915,Roseira,SP
1255,5927,Rubiácea,SP
1256,5939,Rubinéia,SP
1257,5940,Sabino,SP
1258,5952,Sagres,SP
1259,5964,Sales,SP
1260,5976,Sales Oliveira,SP
1261,5988,Salesópolis,SP
1262,5990,Salmourão,SP
1263,7596,Saltinho,SP
1264,6002,Salto,SP
1265,6026,Salto de Pirapora,SP
1266,6014,Salto Grande,SP
1267,6038,Sandovalina,SP
1268,6040,Santa Adélia,SP
1269,6051,Santa Albertina,SP
1270,6063,Santa Bárbara D'Oeste,SP
1271,6087,Santa Branca,SP
1272,6099,Santa Clara D'Oeste,SP
1273,6105,Santa Cruz da Conceição,SP
1274,7810,Santa Cruz da Esperança,SP
1275,6117,Santa Cruz das Palmeiras,SP
1276,6129,Santa Cruz do Rio Pardo,SP
1277,6130,Santa Ernestina,SP
1278,6142,Santa Fé do Sul,SP
1279,6154,Santa Gertrudes,SP
1280,6166,Santa Isabel,SP
1281,6178,Santa Lúcia,SP
1282,6180,Santa Maria da Serra,SP
1283,6191,Santa Mercedes,SP
1284,6210,Santa Rita do Passa Quatro,SP
1285,6208,Santa Rita D'Oeste,SP
1286,6221,Santa Rosa do Vitérbo,SP
1287,7821,Santa Salete,SP
1288,6245,Santana da Ponte Pensa,SP
1289,6233,Santana do Parnaíba,SP
1290,6257,Santo Anastácio,SP
1291,6269,Santo André,SP
1292,6270,Santo Antônio da Alegria,SP
1293,6300,Santo Antônio da Posse,SP
1294,7602,Santo Antônio do Aracanguá,SP
1295,6282,Santo Antônio do Jardim,SP
1296,6294,Santo Antônio do Pinhal,SP
1297,6312,Santo Expedito,SP
1298,6324,Santópolis do Aguapeí,SP
1299,6336,Santos,SP
1300,6348,São Bento do Sapucaí,SP
1301,6350,São Bernardo do Campo,SP
1302,6361,São Caetano do Sul,SP
1303,6373,São Carlos,SP
1304,6385,São Francisco,SP
1305,6397,São João da Boa Vista,SP
1306,6403,São João das Duas Pontes,SP
1307,7614,São João de Iracema,SP
1308,6415,São João do Pau D'Alho,SP
1309,6427,São Joaquim da Barra,SP
1310,6440,São José da Bela Vista,SP
1311,6439,São José do Barreiro,SP
1312,6464,São José do Rio Pardo,SP
1313,6476,São José do Rio Preto,SP
1314,6452,São José dos Campos,SP
1315,7729,São Lourenço da Serra,SP
1316,6488,São Luiz do Paraitinga,SP
1317,6490,São Manuel,SP
1318,6506,São Miguel Arcanjo,SP
1319,1004,São Paulo,SP
1320,6518,São Pedro,SP
1321,6520,São Pedro do Turvo,SP
1322,6531,São Roque,SP
1323,6543,São Sebastião,SP
1324,6555,São Sebastião da Grama,SP
1325,6567,São Simão,SP
1326,6579,São Vicente,SP
1327,6580,Sarapuí,SP
1328,6592,Sarutaiá,SP
1329,6609,Sebastianópolis do Sul,SP
1330,6610,Serra Azul,SP
1331,6622,Serra Negra,SP
1332,6634,Serrana,SP
1333,6646,Sertãozinho,SP
1334,6658,Sete Barras,SP
1335,6660,Severínia,SP
1336,6671,Silveiras,SP
1337,6683,Socorro,SP
1338,6695,Sorocaba,SP
1339,6701,Sud Menucci,SP
1340,6713,Sumaré,SP
1341,7626,Suzanápolis,SP
1342,6725,Suzano,SP
1343,6737,Tabapuã,SP
1344,6749,Tabatinga,SP
1345,6750,Taboão da Serra,SP
1346,6762,Taciba,SP
1347,6774,Taguaí,SP
1348,6786,Taiaçu,SP
1349,6798,Taiúva,SP
1350,6804,Tambaú,SP
1351,6816,Tanabi,SP
1352,6828,Tapiraí,SP
1353,6830,Tapiratiba,SP
1354,7857,Taquaral,SP
1355,6841,Taquaritinga,SP
1356,6853,Taquarituba,SP
1357,7638,Taquarivaí,SP
1358,6865,Tarabaí,SP
1359,7316,Tarumã,SP
1360,6877,Tatui,SP
1361,6889,Taubaté,SP
1362,6890,Tejupa,SP
1363,6907,Teodoro Sampaio,SP
1366,6919,Terra Roxa,SP
1367,6920,Tietê,SP
1368,6932,Timburi,SP
1371,7730,Torre de Pedra,SP
1372,6944,Torrinha,SP
1373,7948,Trabiju,SP
1374,6956,Tremembé,SP
1375,6968,Três Fronteiras,SP
1376,7640,Tuiuti,SP
1377,6970,Tupã,SP
1378,6981,Tupi Paulista,SP
1379,6993,Turiuba,SP
1380,7006,Turmalina,SP
1381,7651,Ubarana,SP
1382,7018,Ubatuba,SP
1383,7020,Ubirajara,SP
1384,7031,Uchoa,SP
1385,7043,União Paulista,SP
1386,7055,Urânia,SP
1387,7067,Uru,SP
1388,7079,Urupês,SP
1389,7092,Valentim Gentil,SP
1390,7080,Valinhos,SP
1391,7109,Valparaiso,SP
1392,7663,Vargem,SP
1393,7110,Vargem Grande do Sul,SP
1394,7201,Vargem Grande Paulista,SP
1395,7122,Várzea Paulista,SP
1396,7134,Vera Cruz,SP
1397,7146,Vinhedo,SP
1398,7158,Viradouro,SP
1399,7160,Vista Alegre do Alto,SP
1400,7833,Vitória Brasil,SP
1401,7171,Votorantim,SP
1402,7183,Votuporanga,SP
1403,7742,Zacarias,SP
